RN,FECHA,INICIO_INTERVALO,Llamadas_recibidas,Llamadas_atendidas,PERIODO_CIERRE,PERIODO_PAGO,PERIODO_RESTO_MES,FECHA_ENVIO_RDC,FECHA,ANIO,MES,TRIMES,DIASEM,DIAMES,DIAAANIO,SEMANA,DIA_HABIL
1,2022-01-03,2022-01-03T08:00:00Z,67,65,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
2,2022-01-03,2022-01-03T08:30:00Z,705,697,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
3,2022-01-03,2022-01-03T09:00:00Z,881,873,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
4,2022-01-03,2022-01-03T09:30:00Z,1151,1120,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
5,2022-01-03,2022-01-03T10:00:00Z,1260,1219,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
6,2022-01-03,2022-01-03T10:30:00Z,1198,1066,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
7,2022-01-03,2022-01-03T11:00:00Z,1250,1158,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
8,2022-01-03,2022-01-03T11:30:00Z,1348,1099,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
9,2022-01-03,2022-01-03T12:00:00Z,1170,969,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
10,2022-01-03,2022-01-03T12:30:00Z,1110,889,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
11,2022-01-03,2022-01-03T13:00:00Z,926,745,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
12,2022-01-03,2022-01-03T13:30:00Z,817,708,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
13,2022-01-03,2022-01-03T14:00:00Z,766,677,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
14,2022-01-03,2022-01-03T14:30:00Z,778,661,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
15,2022-01-03,2022-01-03T15:00:00Z,733,684,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
16,2022-01-03,2022-01-03T15:30:00Z,741,733,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
17,2022-01-03,2022-01-03T16:00:00Z,607,595,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
18,2022-01-03,2022-01-03T16:30:00Z,646,622,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
19,2022-01-03,2022-01-03T17:00:00Z,734,715,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
20,2022-01-03,2022-01-03T17:30:00Z,780,757,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
21,2022-01-03,2022-01-03T18:00:00Z,168,70,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
22,2022-01-03,2022-01-03T18:30:00Z,86,37,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
23,2022-01-03,2022-01-03T19:00:00Z,106,51,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
24,2022-01-03,2022-01-03T19:30:00Z,82,41,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
25,2022-01-03,2022-01-03T20:00:00Z,55,48,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
26,2022-01-03,2022-01-03T20:30:00Z,40,36,0,1,0,0,2022-01-03,2022,202201,2022T1,2,3,3,1,1
27,2022-01-04,2022-01-04T08:00:00Z,43,42,0,1,0,0,2022-01-04,2022,202201,2022T1,3,4,4,1,1
28,2022-01-04,2022-01-04T08:30:00Z,582,579,0,1,0,0,2022-01-04,2022,202201,2022T1,3,4,4,1,1
29,2022-01-04,2022-01-04T09:00:00Z,798,792,0,1,0,0,2022-01-04,2022,202201,2022T1,3,4,4,1,1
30,2022-01-04,2022-01-04T09:30:00Z,984,982,0,1,0,0,2022-01-04,2022,202201,2022T1,3,4,4,1,1
31,2022-01-04,2022-01-04T10:00:00Z,1102,1077,0,1,0,0,2022-01-04,2022,202201,2022T1,3,4,4,1,1
32,2022-01-04,2022-01-04T10:30:00Z,1202,1092,0,1,0,0,2022-01-04,2022,202201,2022T1,3,4,4,1,1
33,2022-01-04,2022-01-04T11:00:00Z,1256,1154,0,1,0,0,2022-01-04,2022,202201,2022T1,3,4,4,1,1
34,2022-01-04,2022-01-04T11:30:00Z,1245,1060,0,1,0,0,2022-01-04,2022,202201,2022T1,3,4,4,1,1
35,2022-01-04,2022-01-04T12:00:00Z,1180,974,0,1,0,0,2022-01-04,2022,202201,2022T1,3,4,4,1,1
36,2022-01-04,2022-01-04T12:30:00Z,1090,883,0,1,0,0,2022-01-04,2022,202201,2022T1,3,4,4,1,1
37,2022-01-04,2022-01-04T13:00:00Z,930,768,0,1,0,0,2022-01-04,2022,202201,2022T1,3,4,4,1,1
38,2022-01-04,2022-01-04T13:30:00Z,865,724,0,1,0,0,2022-01-04,2022,202201,2022T1,3,4,4,1,1
39,2022-01-04,2022-01-04T14:00:00Z,765,680,0,1,0,0,2022-01-04,2022,202201,2022T1,3,4,4,1,1
40,2022-01-04,2022-01-04T14:30:00Z,707,667,0,1,0,0,2022-01-04,2022,202201,2022T1,3,4,4,1,1
